ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot,source_schedule,System Name,System Type,Service Type,Classification,Size,Diameter,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in)
1249438,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,56.548,135.677,15.0,56.548,140.666,15.0,56.548,130.687,15.0,,56.215,130.687,15.0,56.882,140.666,27.0,56.548,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249463,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,66.215,135.677,15.0,66.215,140.666,15.0,66.215,130.687,15.0,,65.882,130.687,15.0,66.548,140.666,27.0,66.215,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249493,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,75.882,135.677,15.0,75.882,140.666,15.0,75.882,130.687,15.0,,75.548,130.687,15.0,76.215,140.666,27.0,75.882,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249530,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,85.548,135.677,15.0,85.548,140.666,15.0,85.548,130.687,15.0,,85.215,130.687,15.0,85.882,140.666,27.0,85.548,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249558,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,95.215,135.677,15.0,95.215,140.666,15.0,95.215,130.687,15.0,,94.882,130.687,15.0,95.548,140.666,27.0,95.215,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249706,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,104.882,135.677,15.0,104.882,140.666,15.0,104.882,130.687,15.0,,104.548,130.687,15.0,105.215,140.666,27.0,104.882,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249741,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 11 3/4""","0' - 8""",,,116 SF,77.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,114.548,135.677,15.0,114.548,140.666,15.0,114.548,130.687,15.0,,114.215,130.687,15.0,114.882,140.666,27.0,114.548,135.677,21.0,,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 11 3/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249833,Walls,,"Generic - 8"" - EXTERIOR",L 1,,B2010,Exterior Walls,"10' - 6 1/4""","0' - 8""",,,67 SF,44.93 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,-1.118,203.593,15.0,-1.118,198.333,15.0,-1.118,208.854,15.0,,-1.452,198.333,15.0,-0.785,209.187,27.0,-1.118,203.76,21.0,,"Area=67 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=10' - 6 1/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=12' - 0"" | Volume=44.93 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249905,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"9' - 7 1/2""","0' - 8""",,,119 SF,79.67 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,66.548,204.041,15.0,66.548,199.229,15.0,66.548,208.854,15.0,,66.215,199.229,15.0,66.882,209.187,27.0,66.548,204.208,21.0,,"Area=119 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=9' - 7 1/2"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=79.67 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1249986,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,114 SF,76.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,56.882,203.76,15.0,56.882,208.854,15.0,56.882,198.666,15.0,,56.548,198.666,15.0,57.215,208.854,27.0,56.882,203.76,21.0,,"Area=114 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=76.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1250022,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,114 SF,76.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,47.215,203.76,15.0,47.215,208.854,15.0,47.215,198.666,15.0,,46.882,198.666,15.0,47.548,208.854,27.0,47.215,203.76,21.0,,"Area=114 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=76.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1250048,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,114 SF,76.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,37.548,203.76,15.0,37.548,208.854,15.0,37.548,198.666,15.0,,37.215,198.666,15.0,37.882,208.854,27.0,37.548,203.76,21.0,,"Area=114 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=76.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
1250076,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 2 1/4""","0' - 8""",,,114 SF,76.17 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",Curve,27.882,203.76,15.0,27.882,208.854,15.0,27.882,198.666,15.0,,27.548,198.666,15.0,28.215,208.854,27.0,27.882,203.76,21.0,,"Area=114 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 2 1/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=76.17 CF | Width=0' - 8""",C:\Ashmitha\Stanford\Quarter 2\PBL\IPD Challenge\revit_schedules\Arch\04_Island_ARCH_Concept2_V24_2026-04-23_04-35-08pm_detached_Architecture_TakeOff.csv,,,,,,,,,,,,,,,,,,,,,,,,
